"name","numberOfCores","osDiskSizeInMB","resourceDiskSizeInMB","memoryInMB","maxDataDiskCount"
"Standard_E64-32ds_v6","64","1047552","0","524288","64"
"Standard_E64ds_v6","64","1047552","0","524288","64"
"Standard_E96-24ds_v6","96","1047552","0","786432","64"
"Standard_E96-48ds_v6","96","1047552","0","786432","64"
"Standard_E96ds_v6","96","1047552","0","786432","64"
"Standard_ND96isr_H100_v5","96","1047552","1048576","1945600","16"
"Standard_M64","64","1047552","7340032","1048576","64"
"Standard_M64m","64","1047552","7340032","1835008","64"
"Standard_M128","128","1047552","14680064","2097152","64"
"Standard_M128m","128","1047552","14680064","3985408","64"
"Standard_M8-2ms","8","1047552","262144","224000","8"
"Standard_M8-4ms","8","1047552","262144","224000","8"
"Standard_M8ms","8","1047552","262144","224000","8"
"Standard_M16-4ms","16","1047552","524288","448000","16"
"Standard_M16-8ms","16","1047552","524288","448000","16"
"Standard_M16ms","16","1047552","524288","448000","16"
"Standard_M32-8ms","32","1047552","1048576","896000","32"
"Standard_M32-16ms","32","1047552","1048576","896000","32"
"Standard_M32ls","32","1047552","1048576","262144","32"
"Standard_M32ms","32","1047552","1048576","896000","32"
"Standard_M32ts","32","1047552","1048576","196608","32"
"Standard_M64-16ms","64","1047552","2097152","1835008","64"
"Standard_M64-32ms","64","1047552","2097152","1835008","64"
"Standard_M64ls","64","1047552","2097152","524288","64"
"Standard_M64ms","64","1047552","2097152","1835008","64"
"Standard_M64s","64","1047552","2097152","1048576","64"
"Standard_M128-32ms","128","1047552","4194304","3985408","64"
"Standard_M128-64ms","128","1047552","4194304","3985408","64"
"Standard_M128ms","128","1047552","4194304","3985408","64"
"Standard_M128s","128","1047552","4194304","2097152","64"
"Standard_M32ms_v2","32","1047552","0","896000","32"
"Standard_M64ms_v2","64","1047552","0","1835008","64"
"Standard_M64s_v2","64","1047552","0","1048576","64"
"Standard_M128ms_v2","128","1047552","0","3985408","64"
"Standard_M128s_v2","128","1047552","0","2097152","64"
"Standard_M192ims_v2","192","1047552","0","4194304","64"
"Standard_M192is_v2","192","1047552","0","2097152","64"
"Standard_M32dms_v2","32","1047552","1048576","896000","32"
"Standard_M64dms_v2","64","1047552","2097152","1835008","64"
"Standard_M64ds_v2","64","1047552","2097152","1048576","64"
"Standard_M128dms_v2","128","1047552","4194304","3985408","64"
"Standard_M128ds_v2","128","1047552","4194304","2097152","64"
"Standard_M192idms_v2","192","1047552","4194304","4194304","64"
"Standard_M192ids_v2","192","1047552","4194304","2097152","64"
"Standard_HB120-16rs_v2","120","1047552","491520","466944","32"
"Standard_HB120-32rs_v2","120","1047552","491520","466944","32"
"Standard_HB120-64rs_v2","120","1047552","491520","466944","32"
"Standard_HB120-96rs_v2","120","1047552","491520","466944","32"
"Standard_HB120rs_v2","120","1047552","491520","466944","32"
"Standard_L8as_v3","8","1047552","81920","65536","16"
"Standard_L16as_v3","16","1047552","163840","131072","32"
"Standard_L32as_v3","32","1047552","327680","262144","32"
"Standard_L48as_v3","48","1047552","491520","393216","32"
"Standard_L64as_v3","64","1047552","655360","524288","32"
"Standard_L80as_v3","80","1047552","819200","655360","32"
"Standard_E2a_v4","2","1047552","51200","16384","4"
"Standard_E4a_v4","4","1047552","102400","32768","8"
"Standard_E8a_v4","8","1047552","204800","65536","16"
"Standard_E16a_v4","16","1047552","409600","131072","32"
"Standard_E20a_v4","20","1047552","512000","163840","32"
"Standard_E32a_v4","32","1047552","819200","262144","32"
"Standard_E48a_v4","48","1047552","1228800","393216","32"
"Standard_E64a_v4","64","1047552","1638400","524288","32"
"Standard_E96a_v4","96","1047552","2457600","688128","32"
"Standard_E2as_v4","2","1047552","32768","16384","4"
"Standard_E4-2as_v4","4","1047552","65536","32768","8"
"Standard_E4as_v4","4","1047552","65536","32768","8"
"Standard_E8-2as_v4","8","1047552","131072","65536","16"
"Standard_E8-4as_v4","8","1047552","131072","65536","16"
"Standard_E8as_v4","8","1047552","131072","65536","16"
"Standard_E16-4as_v4","16","1047552","262144","131072","32"
"Standard_E16-8as_v4","16","1047552","262144","131072","32"
"Standard_E16as_v4","16","1047552","262144","131072","32"
"Standard_E20as_v4","20","1047552","327680","163840","32"
"Standard_E32-8as_v4","32","1047552","524288","262144","32"
"Standard_E32-16as_v4","32","1047552","524288","262144","32"
"Standard_E32as_v4","32","1047552","524288","262144","32"
"Standard_E48as_v4","48","1047552","786432","393216","32"
